kinase,uniprot
MYO3B,Q8WXR4
PKMYT1,Q99640
NDR1,Q15208
NDR2,Q9Y2H1
NEK1,Q96PY6
NEK10,Q6ZWH5
NEK11,Q8NG66
NEK2,P51955
NEK3,P51956
NEK4,P51957
NEK5,Q6P3R8
NEK6,Q9HC98
NEK7,Q8TDX7
NEK8,Q86SG6
NEK9,Q8TD19
NIK,Q99558
NIM1,Q8IY84
NLK,Q9UBE8
NRBP1,Q9UHY1
NRBP2,Q9NSY0
NRK,Q7Z2Y5
NUAK1,O60285
NUAK2,Q9H093
OBSCN,Q5VST9
OSR1,O95747
P38A,Q16539
P38B,Q15759
P38D,O15264
P38G,P53778
P70S6K,P23443
P70S6KB,Q9UBS0
PAK1,Q13153
PAK2,Q13177
PAK3,O75914
PAK4,O96013
PAK5,Q9P286
PAK6,Q9NQU5
PASK,Q96RG2
PBK,Q96KB5
CDK16,Q00536
CDK17,Q00537
CDK18,Q07002
PDGFRA,P16234
PDGFRB,P09619
PDHK1,Q15118
PDHK3,Q15120
PDHK4,Q16654
PDK1,O15530
PERK,Q9NZJ5
CDK14,O94921
CDK15,Q96Q40
PHKG1,Q16816
PHKG2,P15735
PIK3R4,Q99570
PIM1,P11309
PIM2,Q9P1W9
PIM3,Q86V86
PINK1,Q9BXM7
CDK11B,P21127
PKACA,P17612
PKACB,P22694
PKACG,P22612
PKCA,P17252
PKCB,P05771
PKCD,Q05655
PKCE,Q02156
PKCG,P05129
PKCH,P24723
PKCI,P41743
PKCT,Q04759
PKCZ,Q05513
PRKD1,Q15139
PRKD2,Q9BZL6
PRKD3,O94806
PKG1,Q13976
PKG2,Q13237
PKN1,Q16512
PKN2,Q16513
PKN3,Q6P5Z2
PKR,P19525
PLK1,P53350
PLK2,Q9NYY3
PLK3,Q9H4B4
PLK4,O00444
PRKX,P51817
PRKY,O43930
PRP4,Q13523
PRPK,Q96S44
PSKH1,P11801
PSKH2,Q96QS6
PTK2B,Q14289
QIK,Q9H0K1
QSK,Q9Y2K2
RAF1,P04049
RET,P07949
GRK1,Q15835
RIOK1,Q9BRS2
RIOK2,Q9BVS4
RIOK3,O14730
RIPK1,Q13546
RIPK2,O43353
RIPK3,Q9Y572
RNASEL,Q05823
ROCK1,Q13464
ROCK2,O75116
MST1R,Q04912
ROR1,Q01973
ROR2,Q01974
ROS1,P08922
P90RSK,Q15418
RSK2,P51812
RSK3,Q15349
RSK4,Q9UK32
RPS6KC1,Q96S38
RPS6KL1,Q9Y6S9
RYK,P34925
SBK,Q52WX2
SCYL1,Q96KG9
SCYL2,Q6P3W7
SCYL3,Q8IZE3
SBK2,P0C263
STKLD1,Q8NE28
MYLK4,Q86YV6
SGK1,O00141
SBK3,P0C264
POMK,Q9H5K3
SGK2,Q9HBY8
PRAG1,Q86YV5
PEAK1,Q9H792
ANKK1,Q8NFD2
SGK3,Q96BR1
TEX14,Q8IWB6
STK31,Q9BXU1
PKDCC,Q504Y2
RSKR,Q96LW2
STK40,Q8N2I9
DSTYK,Q6XUX3
SIK,P57059
SKMLCK,Q9H1R3
SLK,Q9H2G2
PXK,Q7Z7A4
SMG1,Q96Q15
SMMLCK,Q15746
SNRK,Q9NRH2
SPEG,Q15772
SRC,P12931
SRMS,Q9H3Y6
SRPK1,Q96SB4
SRPK2,P78362
SSTK,Q9BXA6
STK33,Q9BYT3
STLK3,Q9UEW8
STRADA,Q7RTN6
STRADB,Q9C0K7
STYK1,Q6J9G0
SYK,P43405
TAK1,O43318
TAO1,Q7L7X3
TAO2,Q9UL54
TAO3,Q9H2K8
TBCK,Q8TEA7
TBK1,Q9UHD2
TEC,P42680
TESK1,Q15569
TESK2,Q96S53
TGFBR1,P36897
TGFBR2,P37173
TIE1,P35590
TEK,Q02763
TRIM24,O15164
TRIM28,Q13263
TRIM33,Q9UPN9
TLK1,Q9UKI8
TLK2,Q86UE8
TNIK,Q9UKE5
TNK1,Q13470
KALRN,O60229
TRIB1,Q96RU8
TRIB2,Q92519
TRIB3,Q96RU7
TRIO,O75962
NTRK1,P04629
NTRK2,Q16620
NTRK3,Q16288
TRRAP,Q9Y4A5
TSSK1,Q9BXA7
TSSK2,Q96PF2
TSSK3,Q96PN8
TSSK4,Q6SA08
TTBK1,Q5TCY1
TTBK2,Q6IQ55
TTK,P33981
TTN,Q8WZ42
TXK,P42681
TYK2,P29597
TYRO3,Q06418
ULK1,O75385
ULK2,Q8IYT8
ULK3,Q6PHR2
ULK4,Q96C45
CAMKV,Q8NCB2
VRK1,Q99986
VRK2,Q86Y07
VRK3,Q8IV63
WEE1,P30291
WEE2,P0C1S8
WNK1,Q9H4A3
WNK2,Q9Y3S1
WNK3,Q9BYP7
WNK4,Q96J92
STK32A,Q8WU08
YANK2,Q9NY57
YANK3,Q86UX6
YES1,P07947
YSK1,O00506
ZAK,Q9NYL2
ZAP70,P43403
EEF2K,O00418
FAM20C,Q8IXL6
